,Logistic Regression,Random Forest,XGBoost
No NLP,0.6633,0.6333,0.7366
Transformer Sentiment,0.58,0.6666,0.73
Cosine Similarity,0.6766,0.6666,0.6866
USE Score,0.6599,0.6666,0.7566
Bert Topic Modeling,0.6633,0.7,0.75
LDA max Value,0.6633,0.6933,0.69
LDA Mosaic,0.6799,0.6866,0.73
Doc2Vec Mean,0.6833,0.7133,0.7166
Doc2Vec Mosaic,0.63,0.7133,0.7333
D2V UMAP 1st Comp,0.6266,0.6933,0.71
D2V UMAP 2nd Comp,0.6499,0.6666,0.75
D2V UMAP Mosaic,0.6666,0.6933,0.7533
Named Entity,0.6066,0.72,0.71
Top 3 Metrics,0.67,0.6799,0.7666
